"Facility.ID","PREA.Audit.Date","PREA.Report.Date","PREA.Staff.Population","PREA.Residents.Population","PREA.Capacity","PREA.Staff.Population.Type","PREA.Residents.Population.Type","PREA.Source"
2,2019-06-04,2019-07-18,84,632,718,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/ATEF%20-%20Final%20Report%202019.pdf"
3,2018-07-19,2018-08-15,38,228,240,"Contact","Admitted (Last 12 Months)","http://www.doc.alabama.gov/docs/PREA/AlexCityWRAuditorReport.pdf"
5,2020-01-24,2020-06-15,174,1828,960,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/Alabama_Bibb%20Correctional%20Facility_PREA2020.pdf"
6,2018-06-29,2018-11-16,47,236,268,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/BirminghamWRAuditorReport.pdf"
7,2019-01-24,2019-03-17,264,1459,1573,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/BullockCorrectionalFacility-2019PREAReport.pdf"
8,2018-06-21,2018-07-31,21,61,90,"Contact","Current","http://www.doc.state.al.us/docs/PREA/CamdenWRAuditorReport.pdf"
9,2018-07-18,2015-08-15,41,156,410,"Contact","Admitted (Last 12 Months)","http://www.doc.alabama.gov/docs/PREA/ChildersburgWRAuditorReport.pdf"
11,2020-02-12,2020-08-18,230,1410,992,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/Alabama_Donaldson%20Correctional%20Facility_PREA2020.pdf"
13,2021-01-28,2021-03-03,136,1144,1318,"Contact","Current","http://www.doc.alabama.gov/docs/PREA/Easterling%20Report.Final.pdf"
14,2018-07-20,2018-07-31,30,138,250,"Contact","Current","http://doc.alabama.gov/docs/PREA/ElbaWRAuditorReport.pdf"
15,2018-07-26,2018-09-06,145,1176,600,"Contact","Current","http://www.doc.state.al.us/docs/PREA/ElmoreCorrectionalFacilityAuditorReport.pdf"
16,2018-07-31,2018-07-31,21,61,90,"Contact","Current","http://www.doc.state.al.us/docs/PREA/CamdenWRAuditorReport.pdf"
