Count.ID,State,Name,Jurisdiction,hifld_id,Address,City,Zipcode,Latitude,Longitude,County,County.FIPS,TYPE,POPULATION,SECURELVL,CAPACITY,federal_prison_type,Website
244,Abroad,FLM GUAM,Federal Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.bop.gov/coronavirus/
1,Alabama,ALEX CITY,Prison,10003721,HIGHWAY 22 WEST,ALEX CITY,35011,32.90447114,-86.00896897,COOSA,1037,STATE,201,MINIMUM,346,private,http://www.doc.alabama.gov/covid19news
159,Alabama,ALICEVILLE FCI,Federal Prison,10006173,11070 HIGHWAY 14,ALICEVILLE,35442,33.17626974,-88.19304609,PICKENS,10107,FEDERAL,1267,MINIMUM,1536,BOP,https://www.bop.gov/coronavirus/
2,Alabama,ATEF,Prison,10006524,102 INDUSTRIAL PARKWAY,COLUMBIANA,35051,33.18100499,-86.62401724,SHELBY,1117,STATE,281,NA,724,private,http://www.doc.alabama.gov/covid19news
3,Alabama,BIBB,Prison,10001954,565 BIBB LANE,BRENT,35034,32.92242,-87.16458,BIBB,1007,STATE,1808,MEDIUM,1914,NA,http://www.doc.alabama.gov/covid19news
4,Alabama,BIRMINGHAM,Prison,10001204,1216 25TH ST N,BIRMINGHAM,35234,33.53104632,-86.80836181,JEFFERSON,1073,STATE,239,MINIMUM,312,private,http://www.doc.alabama.gov/covid19news
5,Alabama,BULLOCK,Prison,10001223,104 BULLOCK DR,UNION SPRINGS,36089,32.14940285,-85.67232013,BULLOCK,1011,STATE,1343,MEDIUM,1658,private,http://www.doc.alabama.gov/covid19news
6,Alabama,CAMDEN,Prison,10000142,1780 ALABAMA HWY 221,CAMDEN,36726,31.99483708,-87.33312321,WILCOX,1131,STATE,93,MINIMUM,162,private,http://www.doc.alabama.gov/covid19news
7,Alabama,CHILDERSBURG,Prison,10001209,13501 PLANT RD,ALPINE,35014,33.36493323,-86.33219762,TALLADEGA,1121,STATE,368,MINIMUM,550,private,http://www.doc.alabama.gov/covid19news
8,Alabama,CJC,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
9,Alabama,DONALDSON,Prison,10000132,100 WARRIOR LN,BESSEMER,35023,33.51366663,-87.18478369,JEFFERSON,1073,STATE,1386,CLOSE,1760,private,http://www.doc.alabama.gov/covid19news
1376,Alabama,DRAPER QIF,Prison,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,http://www.doc.alabama.gov/covid19news
