"","name","state","jurisdiction","description","security","age","gender","diff_operator_dummy","diff_operator","population","capacity","hifld_id","bjs_id","current","source_population","source_capacity","latitude","longitude","county_fips","zipcode","city","county"
"1","FLM GUAM","Guam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
"2","ALEX CITY COMMUNITY BASED FACILITY","Alabama","state","Transitional Center","Min","A","M",NA,NA,201,346,10003721,"010000000071400000000","Current","HIFLD","HIFLD",32.90447114,-86.00896897,1037,35011,"ALEX CITY","COOSA"
"3","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal","Prison","Med","A","F",NA,NA,1267,1536,10006173,NA,"Current","HIFLD","HIFLD",33.17626974,-88.19304609,10107,35442,"ALICEVILLE","PICKENS"
"4","ALABAMA TREATMENT AND EDUCATION FACILITY","Alabama","state","Prison",NA,"A","M","Different Operator","GeoGroup",281,724,10006524,NA,"Current","HIFLD","HIFLD",33.18100499,-86.62401724,1117,35051,"COLUMBIANA","SHELBY"
"5","BIBB CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1808,1914,10001954,"010000000074100000000","Current","HIFLD","HIFLD",32.92242,-87.16458,1007,35034,"BRENT","BIBB"
"6","BIRMINGHAM COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,239,312,10001204,"018037666070100000000","Current","HIFLD","HIFLD",33.53104632,-86.80836181,1073,35234,"BIRMINGHAM","JEFFERSON"
"7","BULLOCK CORRECTIONAL FACILITY","Alabama","state","Prison",NA,NA,NA,NA,NA,1343,1658,10001223,"010000000073200000000","Current","HIFLD","HIFLD",32.14940285,-85.67232013,1011,36089,"UNION SPRINGS","BULLOCK"
"8","CAMDEN COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,"A","M",NA,NA,93,162,10000142,"010000000071500000000","Current","HIFLD","HIFLD",31.99483708,-87.33312321,1131,36726,"CAMDEN","WILCOX"
"9","CHILDERSBURG COMMUNITY BASED FACILITY","Alabama","state","Transitional Center",NA,NA,NA,NA,NA,368,550,10001209,"010000000073600000000","Current","HIFLD","HIFLD",33.36493323,-86.33219762,1121,35014,"ALPINE","TALLADEGA"
"10","CJC","Alabama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Previous",NA,NA,NA,NA,NA,NA,NA,NA
