Facility.ID,State,xwalk_name_raw,xwalk_name_clean,Source,Description,Security,Age,Gender,Is.Different.Operator,Different.Operator,Population.Feb20,Capacity,HIFLD.ID,BJS.ID,Source.Population.Feb20,Source.Capacity,Address,City,Zipcode,Latitude,Longitude,County,County.FIPS,Website,Jurisdiction
1718,Alabama,ALABAMA CORRECTIONS ACADEMY,ALABAMA CORRECTIONS ACADEMY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.739632,-86.843459,NA,NA,NA,state
1,Alabama,ADOC HEADQUARTERS,ALABAMA HEADQUARTERS,NA,Administrative,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state
1,Alabama,ALABAMA HEADQUARTERS,ALABAMA HEADQUARTERS,NA,Administrative,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state
2,Alabama,ALABAMA TREATMENT AND EDUCATION FACILITY,ALABAMA TREATMENT AND EDUCATION FACILITY,NA,Prison,NA,Adult,Male,1,GeoGroup,281,724,10006524,NA,HIFLD,HIFLD,102 INDUSTRIAL PARKWAY,COLUMBIANA,35051,33.18100499,-86.62401724,SHELBY,1117,https://www.geogroup.com/Locations,state
2,Alabama,ATEF,ALABAMA TREATMENT AND EDUCATION FACILITY,NA,Prison,NA,Adult,Male,1,GeoGroup,281,724,10006524,NA,HIFLD,HIFLD,102 INDUSTRIAL PARKWAY,COLUMBIANA,35051,33.18100499,-86.62401724,SHELBY,1117,https://www.geogroup.com/Locations,state
3,Alabama,ALEX CITY,ALEX CITY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,201,346,10003721,NA,HIFLD,HIFLD,HIGHWAY 22 WEST,ALEX CITY,35011,32.90447114,-86.00896897,COOSA,1037,http://www.doc.state.al.us/FacAddr.aspx,state
3,Alabama,ALEX CITY COMMUNITY BASED FACILITY,ALEX CITY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,201,346,10003721,NA,HIFLD,HIFLD,HIGHWAY 22 WEST,ALEX CITY,35011,32.90447114,-86.00896897,COOSA,1037,http://www.doc.state.al.us/FacAddr.aspx,state
3,Alabama,ALEX CITY COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,ALEX CITY COMMUNITY BASED FACILITY,NA,Transitional Center,Min,Adult,Male,0,NA,201,346,10003721,NA,HIFLD,HIFLD,HIGHWAY 22 WEST,ALEX CITY,35011,32.90447114,-86.00896897,COOSA,1037,http://www.doc.state.al.us/FacAddr.aspx,state
4,Alabama,ALICEVILLE FCI,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,NA,Prison,Med,Adult,Female,0,NA,1267,1536,10006173,NA,HIFLD,HIFLD,11070 HIGHWAY 14,ALICEVILLE,35442,33.17626974,-88.19304609,PICKENS,10107,https://www.bop.gov/locations/,federal
4,Alabama,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION,NA,Prison,Med,Adult,Female,0,NA,1267,1536,10006173,NA,HIFLD,HIFLD,11070 HIGHWAY 14,ALICEVILLE,35442,33.17626974,-88.19304609,PICKENS,10107,https://www.bop.gov/locations/,federal
5,Alabama,BIBB,BIBB CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1808,1914,10001954,NA,HIFLD,HIFLD,565 BIBB LANE,BRENT,35034,32.92242,-87.16458,BIBB,1007,http://www.doc.state.al.us/FacAddr.aspx,state
5,Alabama,BIBB CORRECTIONAL FACILITY,BIBB CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1808,1914,10001954,NA,HIFLD,HIFLD,565 BIBB LANE,BRENT,35034,32.92242,-87.16458,BIBB,1007,http://www.doc.state.al.us/FacAddr.aspx,state
6,Alabama,BIRMINGHAM,BIRMINGHAM COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,239,312,10001204,NA,HIFLD,HIFLD,1216 25TH ST N,BIRMINGHAM,35234,33.53104632,-86.80836181,JEFFERSON,1073,http://www.doc.state.al.us/FacAddr.aspx,state
6,Alabama,BIRMINGHAM COMMUNITY BASED FACILITY,BIRMINGHAM COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,239,312,10001204,NA,HIFLD,HIFLD,1216 25TH ST N,BIRMINGHAM,35234,33.53104632,-86.80836181,JEFFERSON,1073,http://www.doc.state.al.us/FacAddr.aspx,state
6,Alabama,BIRMINGHAM COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,BIRMINGHAM COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,239,312,10001204,NA,HIFLD,HIFLD,1216 25TH ST N,BIRMINGHAM,35234,33.53104632,-86.80836181,JEFFERSON,1073,http://www.doc.state.al.us/FacAddr.aspx,state
7,Alabama,BULLOCK,BULLOCK CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1343,1658,10001223,NA,HIFLD,HIFLD,104 BULLOCK DR,UNION SPRINGS,36089,32.14940285,-85.67232013,BULLOCK,1011,http://www.doc.state.al.us/FacAddr.aspx,state
7,Alabama,BULLOCK CORRECTIONAL FACILITY,BULLOCK CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1343,1658,10001223,NA,HIFLD,HIFLD,104 BULLOCK DR,UNION SPRINGS,36089,32.14940285,-85.67232013,BULLOCK,1011,http://www.doc.state.al.us/FacAddr.aspx,state
8,Alabama,CAMDEN,CAMDEN COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,93,162,10000142,NA,HIFLD,HIFLD,1780 ALABAMA HWY 221,CAMDEN,36726,31.99483708,-87.33312321,WILCOX,1131,http://www.doc.state.al.us/FacAddr.aspx,state
8,Alabama,CAMDEN COMMUNITY BASED FACILITY,CAMDEN COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,93,162,10000142,NA,HIFLD,HIFLD,1780 ALABAMA HWY 221,CAMDEN,36726,31.99483708,-87.33312321,WILCOX,1131,http://www.doc.state.al.us/FacAddr.aspx,state
8,Alabama,CAMDEN COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,CAMDEN COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,93,162,10000142,NA,HIFLD,HIFLD,1780 ALABAMA HWY 221,CAMDEN,36726,31.99483708,-87.33312321,WILCOX,1131,http://www.doc.state.al.us/FacAddr.aspx,state
9,Alabama,CHILDERSBURG,CHILDERSBURG COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,368,550,10001209,NA,HIFLD,HIFLD,13501 PLANT RD,ALPINE,35014,33.36493323,-86.33219762,TALLADEGA,1121,http://www.doc.state.al.us/FacAddr.aspx,state
9,Alabama,CHILDERSBURG COMMUNITY BASED FACILITY,CHILDERSBURG COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,368,550,10001209,NA,HIFLD,HIFLD,13501 PLANT RD,ALPINE,35014,33.36493323,-86.33219762,TALLADEGA,1121,http://www.doc.state.al.us/FacAddr.aspx,state
9,Alabama,CHILDERSBURG COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,CHILDERSBURG COMMUNITY BASED FACILITY,NA,Transitional Center,NA,NA,NA,0,NA,368,550,10001209,NA,HIFLD,HIFLD,13501 PLANT RD,ALPINE,35014,33.36493323,-86.33219762,TALLADEGA,1121,http://www.doc.state.al.us/FacAddr.aspx,state
10,Alabama,CJC,CJC,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,state
11,Alabama,DONALDSON,DONALDSON CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1386,1760,10000132,NA,HIFLD,HIFLD,100 WARRIOR LN,BESSEMER,35023,33.51366663,-87.18478369,JEFFERSON,1073,http://www.doc.state.al.us/FacAddr.aspx,state
11,Alabama,DONALDSON CORRECTIONAL FACILITY,DONALDSON CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1386,1760,10000132,NA,HIFLD,HIFLD,100 WARRIOR LN,BESSEMER,35023,33.51366663,-87.18478369,JEFFERSON,1073,http://www.doc.state.al.us/FacAddr.aspx,state
12,Alabama,DRAPER QIF,DRAPER QUARANTINE INTAKE FACILITY,NA,Reception Center,NA,Adult,Male,0,NA,NA,1232,NA,NA,NA,Public Records,NA,NA,NA,NA,NA,NA,NA,NA,state
12,Alabama,DRAPER QUARANTINE INTAKE FACILITY,DRAPER QUARANTINE INTAKE FACILITY,NA,Reception Center,NA,Adult,Male,0,NA,NA,1232,NA,NA,NA,Public Records,NA,NA,NA,NA,NA,NA,NA,NA,state
13,Alabama,EASTERLING,EASTERLING CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1229,1267,10000144,NA,HIFLD,HIFLD,200 WALLACE DR,CLIO,36017,31.68938149,-85.58555889,BARBOUR,1005,http://www.doc.state.al.us/FacAddr.aspx,state
13,Alabama,EASTERLING CORRECTIONAL FACILITY,EASTERLING CORRECTIONAL FACILITY,NA,Prison,NA,NA,NA,0,NA,1229,1267,10000144,NA,HIFLD,HIFLD,200 WALLACE DR,CLIO,36017,31.68938149,-85.58555889,BARBOUR,1005,http://www.doc.state.al.us/FacAddr.aspx,state
14,Alabama,ELBA,ELBA COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,130,250,10001226,NA,HIFLD,HIFLD,1620 BOSWELL ST,ELBA,36323,31.41312386,-86.08373748,COFFEE,1031,http://www.doc.state.al.us/FacAddr.aspx,state
14,Alabama,ELBA COMMUNITY BASED FACILITY,ELBA COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,130,250,10001226,NA,HIFLD,HIFLD,1620 BOSWELL ST,ELBA,36323,31.41312386,-86.08373748,COFFEE,1031,http://www.doc.state.al.us/FacAddr.aspx,state
14,Alabama,ELBA COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,ELBA COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,130,250,10001226,NA,HIFLD,HIFLD,1620 BOSWELL ST,ELBA,36323,31.41312386,-86.08373748,COFFEE,1031,http://www.doc.state.al.us/FacAddr.aspx,state
15,Alabama,ELMORE,ELMORE CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1161,1176,10001214,NA,HIFLD,HIFLD,3520 MARION SPILLWAY ROAD,ELMORE,36025,32.57430479,-86.32080582,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
15,Alabama,ELMORE CORRECTIONAL FACILITY,ELMORE CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1161,1176,10001214,NA,HIFLD,HIFLD,3520 MARION SPILLWAY ROAD,ELMORE,36025,32.57430479,-86.32080582,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
16,Alabama,FOUNTAIN,FOUNTAIN CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1136,1613,10001957,NA,HIFLD,HIFLD,9677 AL HWY 21 N,ATMORE,36503,31.15658,-87.46372,ESCAMBIA,1053,http://www.doc.state.al.us/FacAddr.aspx,state
16,Alabama,FOUNTAIN CORRECTIONAL FACILITY,FOUNTAIN CORRECTIONAL FACILITY,NA,Prison,NA,Adult,Male,0,NA,1136,1613,10001957,NA,HIFLD,HIFLD,9677 AL HWY 21 N,ATMORE,36503,31.15658,-87.46372,ESCAMBIA,1053,http://www.doc.state.al.us/FacAddr.aspx,state
17,Alabama,FRANK LEE,FRANK LEE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,285,300,10003728,NA,HIFLD,HIFLD,5305 INGRAM RD.,DEATSVILLE,36022,32.58235451,-86.39221844,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
17,Alabama,FRANK LEE COMMUNITY BASED FACILITY,FRANK LEE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,285,300,10003728,NA,HIFLD,HIFLD,5305 INGRAM RD.,DEATSVILLE,36022,32.58235451,-86.39221844,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
17,Alabama,FRANK LEE COMMUNITY BASED FACILITYCOMMUNITY WORK CENTER,FRANK LEE COMMUNITY BASED FACILITY,NA,Transitional Center,NA,Adult,Male,0,NA,285,300,10003728,NA,HIFLD,HIFLD,5305 INGRAM RD.,DEATSVILLE,36022,32.58235451,-86.39221844,ELMORE,1051,http://www.doc.state.al.us/FacAddr.aspx,state
18,Alabama,HAMILTON A I,HAMILTON AGED AND INFIRMED,NA,Aged and Infirmed,NA,Adult,Male,0,NA,243,300,10001197,NA,HIFLD,HIFLD,223 SASSER DR,HAMILTON,35570,34.12434611,-87.99171938,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
18,Alabama,HAMILTON AGED AND INFIRMED,HAMILTON AGED AND INFIRMED,NA,Aged and Infirmed,NA,Adult,Male,0,NA,243,300,10001197,NA,HIFLD,HIFLD,223 SASSER DR,HAMILTON,35570,34.12434611,-87.99171938,MARION,1093,http://www.doc.state.al.us/FacAddr.aspx,state
