"","name_raw","name_clean","state","jurisdiction"
"1","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","ALICEVILLE FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal"
"2","MONTGOMERY FEDERAL PRISON CAMP","MONTGOMERY FEDERAL PRISON CAMP","Alabama","federal"
"3","TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","TALLADEGA FEDERAL CORRECTIONAL INSTITUTION","Alabama","federal"
"4","ADOC HEADQUARTERS","ALABAMA HEADQUARTERS","Alabama","state"
"5","ALABAMA CORRECTIONS ACADEMY","ALABAMA CORRECTIONS ACADEMY","Alabama","state"
"6","ALEX CITY","ALEX CITY COMMUNITY BASED FACILITY","Alabama","state"
"7","ATEF","ALABAMA TREATMENT AND EDUCATION FACILITY","Alabama","state"
"8","BIBB","BIBB CORRECTIONAL FACILITY","Alabama","state"
"9","BIRMINGHAM","BIRMINGHAM COMMUNITY BASED FACILITY","Alabama","state"
"10","BULLOCK","BULLOCK CORRECTIONAL FACILITY","Alabama","state"
"11","CAMDEN","CAMDEN COMMUNITY BASED FACILITY","Alabama","state"
"12","CHILDERSBURG","CHILDERSBURG COMMUNITY BASED FACILITY","Alabama","state"
"13","DONALDSON","DONALDSON CORRECTIONAL FACILITY","Alabama","state"
"14","DRAPER QIF","DRAPER QUARANTINE INTAKE FACILITY","Alabama","state"
"15","EASTERLING","EASTERLING CORRECTIONAL FACILITY","Alabama","state"
"16","ELBA","ELBA COMMUNITY BASED FACILITY","Alabama","state"
"17","ELMORE","ELMORE CORRECTIONAL FACILITY","Alabama","state"
"18","FOUNTAIN","FOUNTAIN CORRECTIONAL FACILITY","Alabama","state"
"19","FRANK LEE","FRANK LEE COMMUNITY BASED FACILITY","Alabama","state"
"20","HAMILTON A I","HAMILTON AGED AND INFIRMED","Alabama","state"
"21","HAMILTON CBF","HAMILTON COMMUNITY BASED FACILITY","Alabama","state"
"22","HOLMAN","HOLMAN CORRECTIONAL FACILITY","Alabama","state"
"23","KILBY","KILBY CORRECTIONAL FACILITY","Alabama","state"
"24","LIMESTONE","LIMESTONE CORRECTIONAL FACILITY","Alabama","state"
"25","LOXLEY","LOXLEY COMMUNITY BASED FACILITY","Alabama","state"
"26","MOBILE","MOBILE COMMUNITY BASED FACILITY","Alabama","state"
"27","MONTGOMERY WF","MONTGOMERY WOMENS FACILITY","Alabama","state"
"28","NORTH ALABAMA","NORTH ALABAMA COMMUNITY BASED FACILITY","Alabama","state"
"29","RED EAGLE","RED EAGLE COMMUNITY BASED FACILITY","Alabama","state"
"30","ST CLAIR","ST CLAIR CORRECTIONAL FACILITY","Alabama","state"
"31","STATON","STATON CORRECTIONAL FACILITY","Alabama","state"
"32","TUTWILER PRISON FOR WOMEN","TUTWILER PRISON FOR WOMEN","Alabama","state"
"33","TUTWILER QIF","TUTWILER QUARANTINE INTAKE FACILITY","Alabama","state"
"34","VENTRESS","VENTRESS CORRECTIONAL FACILITY","Alabama","state"
"35","STATEWIDE","STATEWIDE","Alaska","state"
"36","STATEWIDE","STATEWIDE","Arizona","state"
"37","STATEWIDE","STATEWIDE","Arkansas","state"
"38","STATEWIDE","STATEWIDE","Connecticut","state"
"39","STATEWIDE","STATEWIDE","Delaware","state"
"40","STATEWIDE","STATEWIDE","Florida","state"
"41","STATEWIDE","STATEWIDE","Idaho","state"
"42","STATEWIDE","STATEWIDE","Kansas","state"
"43","STATEWIDE","STATEWIDE","Missouri","state"
"44","STATEWIDE","STATEWIDE","Montana","state"
"45","STATEWIDE","STATEWIDE","Nebraska","state"
"46","STATEWIDE","STATEWIDE","New York","state"
"47","STATEWIDE","STATEWIDE","Oregon","state"
"48","STATEWIDE","STATEWIDE","Rhode Island","state"
"49","STATEWIDE","STATEWIDE","Texas","state"
"50","STATEWIDE","STATEWIDE","Vermont","state"
"51","STATEWIDE","STATEWIDE","Washington","state"
"52","STATEWIDE","STATEWIDE","West Virginia","state"
"53","MARICOPA COUNTY JAIL","MARICOPA COUNTY JAIL","Arizona","county"
"54","BEHAVIORAL SYSTEMS SOUTHWEST INC RESIDENTIAL REENTRY CENTER PHOENIX","BEHAVIORAL SYSTEMS SOUTHWEST INC RESIDENTIAL REENTRY CENTER PHOENIX","Arizona","federal"
"55","CENTRAL AZ DETENTION CENTER","CENTRAL AZ DETENTION CENTER","Arizona","federal"
"56","PHOENIX FEDERAL CORRECTIONAL INSTITUTION","PHOENIX FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal"
"57","SAFFORD FEDERAL CORRECTIONAL INSTITUTION","SAFFORD FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal"
"58","TUCSON FEDERAL CORRECTIONAL INSTITUTION","TUCSON FEDERAL CORRECTIONAL INSTITUTION","Arizona","federal"
"59","TUCSON UNITED STATES PENITENTIARY","TUCSON UNITED STATES PENITENTIARY","Arizona","federal"
"60","CACF","CENTRAL ARIZONA CORRECTIONAL FACILITY","Arizona","state"
"61","DOUGLAS","DOUGLAS STATE PRISON","Arizona","state"
"62","EYMAN","EYMAN STATE PRISON","Arizona","state"
"63","FLORENCE","FLORENCE STATE PRISON","Arizona","state"
"64","FLORENCE WEST","FLORENCE WEST STATE PRISON","Arizona","state"
"65","KINGMAN","KINGMAN STATE PRISON","Arizona","state"
"66","LEWIS","LEWIS STATE PRISON","Arizona","state"
"67","MARANA","MARANA STATE PRISON","Arizona","state"
"68","MRC","MARICOPA REEENTRY CENTER","Arizona","state"
"69","PERRYVILLE","PERRYVILLE STATE PRISON","Arizona","state"
"70","PHOENIX","PHOENIX STATE PRISON","Arizona","state"
"71","PHOENIX WEST","PHOENIX WEST STATE PRISON","Arizona","state"
"72","PRC","PIMA REENTRY CENTER","Arizona","state"
"73","RED ROCK","RED ROCK STATE PRISON","Arizona","state"
